us4314968,oct 20 1980,feb 9 1982,jean guigan,simultaneous analysis apparatus
us4315891,apr 16 1980,feb 16 1982,olympus optical co ltd,photometry
us4325910,jul 11 1979,apr 20 1982,technicraft inc,photometers
us4326851,oct 24 1980,apr 27 1982,coulter electronics inc,level sensor apparatus method
us4336000,dec 31 1979,jun 22 1982,radiometer s,liquid dosage piston pump
us4338279,apr 11 1980,jul 6 1982,olympus optical company limited,medical diagnosis
us4346056,aug 11 1980,aug 24 1982,olympus optical company limited,medical diagnosis
us4346742,jun 2 1980,aug 31 1982,p.m america inc,method diluting liquid test sample computer controlld diluting apparatus
us4406547,aug 6 1980,sep 27 1983,olympus optical company limited,apparatus effecting automatic analysis
us4412973,dec 14 1981,nov 1 1983,jean guigan,autonomous simultaneous analysis apparatus method using
us4429583,mar 26 1982,feb 7 1984,chugai seiyaku kabushiki kaisha,liquid uptake discharge apparatus
us4430299,jun 18 1981,feb 7 1984,coulter electronics inc,apparatus monitoring chemical reactions
us4448752,dec 14 1981,may 15 1984,olympus optical co ltd,liquid distributing device use chemical analyzer
us4449405,jul 14 1981,may 22 1984,endress u hauser gmbh u co,rod like probe capacitive measurement level container
us4451433,nov 6 1981,may 29 1984,hitachi ltd,automatic chemical analyzer
us4456037,feb 25 1982,jun 26 1984,olympus optical company limited,process delivering samples reagents
us4457893,jul 16 1982,jul 3 1984,olympus optical co ltd,medical diagnosis
us4459265,may 27 1981,jul 10 1984,clinicon ab,automatically operating analysis apparatus
us4470008,jul 2 1982,sep 4 1984,ryochi kato,capacitance sensor
us4471295,mar 1 1982,sep 11 1984,skf industrial trading company b.v,None
us4472505,apr 29 1981,sep 18 1984,olympus optical co ltd,photometrically analyzing plurality times
us4483927,apr 15 1981,nov 20 1984,olympus optical co ltd,method automatically analyzing chemical substances automatic chemical analyzer
us4495149,sep 16 1982,jan 22 1985,toa medical electronic co ltd,optical type automatic analyzing measuring apparatus
us4499766,aug 25 1982,feb 19 1985,berwind corporation,capacitance type material level indicator
us4502126,may 18 1982,feb 26 1985,olympus optical co ltd,apparatus detecting amount liquid remained vessel
us4515260,mar 28 1983,may 7 1985,boeing company,escapement orienting mechanism
us4515889,nov 20 1981,may 7 1985,boehringer mannheim gmbh,method carrying out analytical determinations
us4517160,jan 25 1983,may 14 1985,olympus optical company limited,automatic analyzing apparatus
us4526046,sep 1 1983,jul 2 1985,greiner instruments ag,method apparatus transferring liquid sample
us4536369,mar 2 1981,aug 20 1985,olympus optical company limited,chemical analysis blood urea like
us4540549,dec 21 1984,sep 10 1985,olympus optical company ltd,chemical analyzing apparatus
us4554134,jun 21 1983,nov 19 1985,labsystems oy,pipette adjustable volume
us4555941,sep 21 1984,dec 3 1985,berwind corporation,capacitance type material level indicator
us4558946,jan 25 1983,dec 17 1985,olympus optical co ltd,automatic analyzing apparatus
us4568873,mar 14 1983,feb 4 1986,iwatsu electric co ltd,easy assemble capacitive probe high precision dimensional distance gage
us4571160,jul 24 1984,feb 18 1986,mead corporation,diaphragm pump having flat plate actuating member slidable slots
us4575492,apr 20 1984,mar 11 1986,le materiel biomedical,immunohematology
us4584885,jan 20 1984,apr 29 1986,harry e aine,capacitive detector transducers
us4586546,oct 23 1984,may 6 1986,cetus corporation,reducing difference between actual specified amounts
us4595562,nov 14 1983,jun 17 1986,american hospital supply corporation,None
us4612289,nov 6 1981,sep 16 1986,hitachi ltd,method analyzing liquid sample
us4629703,jan 14 1983,dec 16 1986,technicon instruments corporation,automated analytical system
us4634576,jan 25 1983,jan 6 1987,olympus optical co ltd,reaction vessel use chemical analyzer
us4644807,feb 21 1985,feb 24 1987,dionex corporation,fluid sample delivery apparatus
us4647432,oct 11 1983,mar 3 1987,japan tectron instruments corporation tokuyama soda kabushiki kaisha,automatic analysis apparatus
us4676100,mar 17 1986,jun 30 1987,berwind corporation,capacitance type material level indicator
us4678752,nov 18 1985,jul 7 1987,becton dickinson company,computerized chemical analysis immunoassay
us4679446,sep 9 1985,jul 14 1987,baxter travenol laboratories inc,multi volume displacement pipette
us4687638,sep 30 1985,aug 18 1987,materiel biomedical,device detecting quantifying agglutinates
us4695430,oct 31 1985,sep 22 1987,bio data corporation,analytical apparatus
us4699766,may 29 1986,oct 13 1987,kabushiki kaisha toshiba,rapid analysis reduction size
us4699767,feb 18 1983,oct 13 1987,olympus optical company ltd,liquid transfer apparatus automatic analyzers
us4731225,aug 28 1986,mar 15 1988,kabushiki kaisha nittec,automatic analysis apparatus
us4736638,aug 19 1987,apr 12 1988,beckman instruments inc,liquid level sensor
us4737342,aug 6 1982,apr 12 1988,ciba corning diagnostics corp,test module
us4738825,feb 27 1985,apr 19 1988,fisher scientific company,cuvette handling
us4764342,feb 27 1985,aug 16 1988,fisher scientific company,reagent handling
us4766078,mar 7 1985,aug 23 1988,henry gang,automated consecutive reaction analyzer
us4774055,jun 23 1986,sep 27 1988,japan tectron instruments corporation,automatic analysis apparatus
us4781891,dec 1 1983,nov 1 1988,olympus optical co ltd,automatic analyzing apparatus
us4788150,mar 18 1987,nov 29 1988,fisher scientific company,liquid handling
us4794085,jul 29 1987,dec 27 1988,eastman kodak company,None
us4805469,jun 17 1987,feb 21 1989,rhone poulenc recherches,None
us4808380,feb 24 1987,feb 28 1989,kabushiki kaisha toshiba,automatic chemical analyzing apparatus
us4815632,feb 26 1988,mar 28 1989,jencons scientific limited,liquid dosing device digital display
us4818492,mar 20 1987,apr 4 1989,kabushiki kaisha toshiba,capacitive liquid level sensor automatic chemical analyzer
us4821080,feb 4 1988,apr 11 1989,tosoh corporation,measuring apparatus enzyme reaction rates
us4826319,may 23 1988,may 2 1989,olympus optical co ltd,None
us4826660,may 7 1987,may 2 1989,becton dickinson company,detecting light
us4834944,apr 20 1987,may 30 1989,mitsubishi chemical industries limited,automatic analytical apparatus
